"ID","Bezeichnung","Beschreibung","URL","NetzwerkeServices","DigitaleAnwendungen","Empfehlungen","RechercheRessourcen","KulturSammlungsgutKolonialeKontexte","NsverfolgungsbedingtEntzogenesKulturgut","KulturgutentziehungenSBZDDR","KriegsbedingtVerlagertesKulturgut","HumanRemains","SecretSacredObjects","NaturkundeNaturwissenschaft"
"JDSXZC","Terminologien im Rahmen von NFDI4Objects (Übersicht)","Diese Liste ist derzeit noch im Aufbau und enthält eine Übersicht über Terminologien (Normdateien, Thesauri, Klassifikationen, Gazeteers, Ontologien...), die im Rahmen der Forschungsdateninfrastruktur NFDI4Objects relevant sind. Die hier aufgeführten Links stammen aus dem Bereich der Archäologie un objektbasierten Forschung. Sie wird in BARTOC verwaltet.  Ein Snapshot der Daten in RDF ist unter https://graph.nfdi4objects.net/terminology/ verfügbar.","https://nfdi4objects.github.io/n4o-terminologies/",,"x",,,"x","x","x","x","x","x","x"
"L1YTDU","T-PRO Thesaurus der Provenienzbegriffe – ProvenienzWiki (GBV) ","Provenienzbegriffe bezeichnen Merkmale von Spuren, die Vorbesitzer:innen (Personen und Institutionen) in und auf Büchern, Handschriften oder anderen Artefakten hinterlassen haben. Diese Merkmale kennzeichnen Besitz, Lesespuren oder Zensurabsichten. Der Thesaurus der Provenienzbegriffe dient zur Dokumentation und Recherche dieser Merkmale:
(1) Die Alphabetische Liste enthält alle Begriffe, die für die Recherche von Provenienzmerkmalen eingesetzt werden können. Jeder Begriff ist definiert und in seinen Beziehungen zu den anderen Begriffen dargestellt. Die Deskriptoren sind die Begriffe, die bevorzugt für die Dokumentation der Provenienzmerkmale verwendet werden. Die Nicht-Deskriptoren dienen bei der Recherche oft als Sucheinstieg, sollen aber nicht für die Dokumentation verwendet werden. Daher wird von jedem Nicht-Deskriptor auf einen Deskriptor verwiesen.
(2) Die Hierarchische Liste ordnet die Deskriptoren nach vier Aspekten, die bei der Beschreibung von Provenienzen berücksichtigt werden: Exemplartypen, rechtlichem Status, physischen Merkmalen und Zeitangaben.
(3) Abkürzungsverzeichnis","https://provenienz.gbv.de/T-PRO_Thesaurus_der_Provenienzbegriffe#Alphabetische_Liste",,"x",,,"x","x","x","x","x","x","x"
"XCE8I2","Mapping GND - T-PRO","Die Crosskonkordanz zwischen dem Thesaurus der Provenienzbegriffe (T-PRO) und den passenden Sachschlagwörtern der Gemeinsamen Normdatei (GND) entstand 2021/2022 in der AG Provenienzerschließung beim Standardisierungsausschuss, die eng mit der für den T-PRO verantwortlichen dbv-Kommission Provenienzforschung und Provenienzerschließung verbunden ist. Die Mappings wurden im Rahmen des GND-mul-Projekts der Deutschen Nationalbibliotek (DNB) 2021/22 in die GND integriert. Die redaktionelle Verantwortung obliegt dem/der Vorsitzenden der dbv-Kommission.","https://wiki.dnb.de/display/GND/Mapping+GND+-+T-PRO",,"x",,,"x","x","x","x","x","x","x"
"PFP0QT","DDB Provenienz: Ausgewähltes Vokabular","Entwickelt im Projekt ""Sammlungsgut aus kolonialen Kontexten"", dient das Vokabular dazu, den Objekterwerb in Unrechtskontexten digital zu dokumentieren. Kontexte beziehen sich sowohl auf den NS-Kontext, koloniale Kontexte sowie SBZ und DDR. Das Vokabular wird nicht als geschlossen gedacht, sondern steht für Erweiterungen offen. Die im Vokabular gelisteten Begriffe sind zudem Werte für ""Event Methode"", eines Elements von Lightweight Information Describing Objects (LIDO). ","https://xtree-public.digicult-verbund.de/vocnet/?uriVocItem=http://ddb.vocnet.org/provenance/&startNode=p0030&lang=de&d=n",,"x",,,"x","x","x","x",,,
"HZUO1H","DDB Rollen: Ausgewähltes Vokabular","Die Deutsche Digitale Bibliothek (DDB) verwendet eigene Vokabulare in ihren Datensätzen. Synonyme sollen vermieden werden, daher besitzt jeder Begriff eine präferierte Benennung pro Sprache innerhalb der DDB. Die Vokabulare haben einen eindeutigen Namensraum und damit weltweit Unikatcharakter. Bei dem Rollenvokabular handelt es sich um eine definierte Liste von Rollen, die Akteure im Kontext von Objekten und Ressourcen besitzen.","https://xtree-public.digicult-verbund.de/vocnet/?uriVocItem=http://ddb.vocnet.org/rolle/&startNode=r0028&lang=de&d=n",,"x",,,"x","x","x","x","x",,
"TSCZL6","Cataloging Cultural Objects. A Guide to Describing Cultural Works and Their Images (CCO) (2006)","Cataloging Cultural Objects (CCO) ist ein Handbuch, das bei der Beschreibung, Dokumentation und Katalogisierung von kulturellen Artefakten (wie Kunst und Architektur) und visuellen Medien, die diese repräsentieren, unterstützt.
Zitiervorschlag: Baca, M., Harpring, P., Lanzi, McRae, L., & Whiteside, A. (2006). Cataloging Cultural Objects: A Guide to Describing Cultural Works and Their Images. https://www.tandfonline.com/doi/full/10.1080/14649055.2007.10766172 ","https://www.vraweb.org/cco",,"x","x",,"x","x","x","x","x","x",
"MGQD3K","md:term (museum digital) - Vokabularbrowser","md:term ist der Zugang zu kontrollierten Begriffen bei museum-digital. Die Vokabulare sind gruppiert nach Sprache und Typ: Vokabulare werden in Deutsch und Ungarisch erarbeitet. In beiden Sprachen stehen Vokabulare für Akteure, Orte, Schlagworte und Zeiten zur verfügung. Darüber hinaus bietet md:term Zugang zu einigen externen Vokabularen. Die Informationen zu allen Begriffen stehen in JSON und SKOS zum Download bereit. ","https://term.museum-digital.de",,"x",,,"x","x","x","x","x","x","x"
"LEL4KZ","LIDO Terminology","Die LIDO-Terminologie bezieht sich auf das im XML-Format verfügbare Metadatenaustauschformat LIDO (Lightweight Information Describing Objects), welches im Bereich des Kulturerbes sehr etabliert ist. Mit der LIDO-Terminologie wird die LIDO-Spezifikation ergänzt und die Interoperabilität von LIDO-Daten aus verschiedenen Sammlungen ermöglicht, in dem kontrollierte Vokabulare für bestimmte LIDO-Elemente und -Attribute angeboten werden. Jeder LIDO-Term besitzt einen Uniform Resource Identifier (URI), so wird ein Referenzierbarkeit ermöglicht. Er kann auch bevorzugte Bezeichnungen in anderen Sprachen, alternative Bezeichnungen, semantische Beziehungen zu anderen LIDO-Begriffen und einen Hinweis zum Geltungsbereich haben. Datenanbieter werden so bei der Anpassung oder Abbildung ihrer Datenstrukturen auf LIDO unterstützt und können LIDO-Daten für Dritte, z. B. Portale, leichter aufbereiten. Die Interoperabilität von LIDO-Daten wird gleichzeitg erhöht und Daten können sammlungsübergrefend abgefragt werden.","http://terminology-view.lido-schema.org/vocnet/?uriVocItem=http://terminology.lido-schema.org/&startNode=lido00409&lang=en&d=n",,"x",,,"x","x","x","x","x","x",
"KHXINC","Categories for the Description of Works of art (CDWA)","Die ""Categories for the Description of Works of Art"" (CDWA) umfassen eine Reihe von Richtlinien für best practice beim Katalogisieren und Beschreiben von Kunstwerken, Architektur, anderem materiellen Kulturerbe, Gruppen und Sammlungen von Werken sowie anderen Bildern. CDWA umfassen c. 540 Kategorien und Subkategorieren. Eine kleine Gruppe gilt als Kernkategorien, da sie die Mindestinformationen enthalten, die zur Identifizierung und Beschreibung eines Werks erforderlich sind.","https://www.getty.edu/research/publications/electronic_publications/cdwa/definitions.html",,"x",,,"x","x","x","x","x","x",
"KUUBHA","CIDOC CRM","Das ""CIDOC Conceptual Reference Model"" (CRM) ist eine Ontologie für das Kulturerbe, die vom International Committee for Documentation des International Council of Museums (ICOM) entwickelt wurde. CIDOC CRM soll bei der Integration, dem Austausch und Zugang zu heterogenen strukturierten Informationen helfen. ","https://cidoc-crm.org",,"x",,,"x","x","x","x","x","x","x"
"DAOQKE","CMOA Digital Provenance Standard","Digitales Modell für die Speicherung und Erfassung der Daten der Provenienz in einem maschinenlesbaren Format. Dieses Dokument enthält unser bestes Verständnis dieses Modells, zusammen mit unterstützenden Informationen und Beispielen. Es gibt drei Ausprägungen dieses Standards. Die eine ist ein Textmodell, das als Erweiterung des von der AAM empfohlenen Provenance-Textes fungiert. Die zweite Form ist ein abstraktes Datenmodell in JSON. Die dritte ist als Linked Open Data, als RDF-Modell unter Verwendung des CIDOC-CRM verfügbar. Alle drei sind kompatibel und können ineinander umgewandelt werden.","http://www.museumprovenance.org/reference/standard/",,"x",,,"x","x","x","x","x","x","x"
"VP1M97","Dublin Core: DCMI Metadata Terms","Unter den DCMI Metadata Terms werden die von der Dublin Core™ Metadata Initiative gepflegten und zusammengestellten Terme zur Nachnutzung angeboten. Hierbei handelt es sich um die fünfzehn Begriffe des originären Dublin Core™ Metadata Element Set (auch als „Dublin Core“ bekannt) sowie mehrere Dutzend Eigenschaften, Klassen, Datentypen und Vokabular-Kodierungsschemata zur Erweiterung von „Dublin Core“. Diese Begriffe können in Kombination mit Metadatenbegriffen aus anderen, kompatiblen Vokabularen als Anwendungsprofilen verwendet werden. Die DCMI-Metadatenbegriffe werden in RDF-Vokabularen für die Verwendung als Linked Open Data ausgedrückt. Die Teme werden jedoch auch als XML, JSON, UML angeboten oder können in relationalen Datenbanken verwendet werden.","https://www.dublincore.org/specifications/dublin-core/dcmi-terms/",,"x",,,"x","x","x","x","x","x","x"
"M5QXWC","CERL Thesaurus","Die CERL Thesaurus-Datei enthält u.a. Personennamen und Firmennamen, wie sie in vor der Mitte des 19. Jahrhunderts gedrucktem Material vorkommen - einschließlich abweichender Schreibweisen, Formen in Latein und anderen Sprachen sowie fiktiver Namen. Normdaten, die von CERL-Mitgliedsbibliotheken und anderen Bibliotheken/Projekten, die sich auf die Geschichte des Buches konzentrieren, beigesteuert wurden, werden in einem einzigen System zusammengeführt und durchsuchbar gemacht. ","https://data.cerl.org/thesaurus/",,"x",,"x","x","x","x","x",,,
"FBOY2E","Thesaurus WW2 (1940-1945, NL)","Der WW2 Thesaurus ist eine validierte, hierarchisch organisierte Schlagwortliste für die thematische Erschließung von (digitalen) Quellen aus dem Zeitraum 1940-1945. Der Thesaurus enthält Begriffe zu Ereignissen, Orten, Konzepten und Objekten des Zweiten Weltkriegs. Die Schlagwörter sind in eine Reihe von Hauptbereichen unterteilt, wie z. B. Verfolgung, Verwaltung, Alltagsleben, Recht usw. Außerdem enthält der Thesaurus zum Zweiten Weltkrieg eine umfassende Liste von Lagern und Ghettos in Europa und Niederländisch-Ostindien, einschließlich GPS-Koordinaten.","https://data.niod.nl/WO2_Thesaurus.html",,"x",,,,"x",,"x",,,
"XMJIF0","DE-BIAS - Detecting and Cur(at)Ing Harmful Language in Cultural Heritage Collections","Das Projekt DE-BIAS hat das Ziel, einen integrativeren und respektvolleren Ansatz für die Beschreibung digitaler Sammlungen und die Erzählung von Geschichte und Geschichten von Minderheiten zu fördern. DE-BIAS verfolgte einen Bottom-up-Ansatz und arbeitete mit marginalisierten Gemeinschaften zusammen, um die Vertretung und Beteiligung von Menschen zu verbessern, die das Gefühl haben, dass Museen und Archive nicht über sie sprechen oder, schlimmer noch, nicht für sie da sind.
DE-BIAS konzentriert sich auf die Themen Migration und Kolonialgeschichte, Geschlecht und sexuelle Identität sowie ethnische und ethnisch-religiöse Identität und hat eine Reihe von Ressourcen entwickelt, darunter eine Reihe von Empfehlungen zur Darstellung von Vielfalt in Metadaten des kulturellen Erbes, eine wiederholbare Methodik für Institutionen des kulturellen Erbes zur Einbindung von Gemeinschaften, verschiedene Materialien zum Aufbau von Kapazitäten, die Sie selbst anwenden oder auf Ihren eigenen Kontext übertragen können, das DE-BIAS-Vokabular (mit Begriffen in fünf Sprachen), das beleidigende Sprache mit kontextuellen Informationen und Vorschlägen für geeignete Begriffe kombiniert, sowie das KI-gestützte DE-BIAS-Tool zur Verwendung ","https://pro.europeana.eu/project/de-bias",,"x","x",,"x",,,,"x","x","x"
"PI046O","Linked Open Vocabularies (LOV)","Linked Open Vocabularies (LOV) ist eine Sammlung von Linked Open Data-Vokabularen, die online zur Nachnutzung angeboten werden. Die Vokabulare stammen aus verschiedenen Fachbereichen.","https://lov.linkeddata.es/dataset/lov/",,"x",,,"x","x","x","x","x","x","x"
"E0IE75","Linked Art Data Model","Linked Art ist eine Anwendungsontologie, die auf CIDOC CRM basiert; der Anwendungsbereich des Datenmodells ist enger, da es sich im Besonderen auf Fallbeispiele aus Kunstmuseen bezieht und nicht auf den gesamten Kulturerbebereich. Die Getty Vokabulare dienen zudem als Hauptquelle für die domänenspezifische Terminologie. Linked Art ist ein Community-Projekt, das u.a. folgende Institutionen umfasst: ETH Zurich, Europeana, The Louvre, Met, MoMA, NY oder das Rijksmuseum.","https://linked.art/model/",,"x",,,"x","x","x","x","x","x",
"TT5D9V","PROV-O: The PROV Ontology","Die PROV-Ontologie bietet eine Reihe von Klassen, Eigenschaften und Einschränkungen zur Darstellung und zum Austausch von Provenienzinformationen, die in verschiedenen Systemen und in unterschiedlichen Kontexten generiert werden. Neue Klassen und Eigenschaften zur Modellierung von Provenienzinformationen können für verschiedene Anwendungen und Domänen erstellt werden.","https://www.w3.org/TR/prov-o/",,"x",,,"x","x","x","x","x","x","x"
"ATIXOG","Normdatenservice Kunst von arthistoricum.net","Dieser Service richtet sich an Forschende und Wissenschaftler:innen sowie Gedächtnisinstitutionen aus den Bereichen Kunstgeschichte, Design und Fotografie, die im Rahmen von Erschließungs- und Forschungsvorhaben benötigte, jedoch fehlende Normdatensätze in der Gemeinsamen Normdatei (GND) identifizieren, selbst aber keinen Zugang zu den GND-Redaktionen haben. ","https://www.arthistoricum.net/service/normdatenservice-kunst","x","x",,,"x","x","x","x",,"x",
"VNF97H","New York Archaeology: Referencing Indigenous Communities","Ziel des NYAC Nomenclature Committee ist es, einen Leitfaden zu erstellen, der einen respektvollen Umgang mit der in der archäologischen Berichterstattung auf allen Ebenen der Branche verwendeten Sprache beschreibt. Sowohl das Leitliniendokument als auch die Excel-Tabelle können heruntergeladen werden.  Bei der Excel-Tabelle handelt es sich um eine durchsuchbare (und filterbare) Liste, die den Benutzer zu einer geeigneteren Wortwahl führt, sowie um Referenzinformationen und Links zu weiteren Quellen.","https://nysarchaeology.org/nyac/nyac-nomenclature-committee/",,"x","x",,"x",,,,,,
"K5GAOS","Stolen Works of Art Database, Interpol","Die 2009 entwickelte Stolen Art Database von Interpol veröffentlicht Beschreibungen und Abbildungen von gestohlenen Kulturgütern (laut Website: über 52.000 Objekte). Die Datenbank enthält nur Angaben zu Objekten, die von offiziellen Mitgliedsländern und Organisationen wie UNESCO oder ICOM als gestohlen gemeldet wurden und die vollständig identifizierbar sind (durch Erfüllen der Kriterien der ICOM Object ID). Eine integrierte Bildsuche ermöglicht den Abgleich durch den Upload von Bilddaten des gesuchten Objekts. Für die Nutzung ist die (kostenfreie) Anmeldung über ein Bewerbungsformular (Hinweise) erforderlich.","https://www.interpol.int/Crimes/Cultural-heritage-crime/Stolen-Works-of-Art-Database",,"x",,"x","x","x","x","x","x","x","x"
"PHE6HT","MAX – Museum Analytics","Ein modulares, dynamisches und interaktives Online-Tool zur vergleichenden Analyse musealer Datenbestände.","https://www.max.gwi.uni-muenchen.de/",,"x",,"x","x","x","x","x","x","x","x"
"I86PSN","Lido Terminologie - Event type Provenance","Dieses LIDO-Vokabular dient der standardisierten Beschreibung von Provenienzinformationen im Kontext des XML-Metadatenaustauschformats LIDO (s. o.). Datengebende werden so bei der Erfassung und Bereitstellung ihrer Proveniezinformationen unterstützt und es ist eine bestandsübergreifende Suche nach diesen Informationen möglich.","http://terminology-view.lido-schema.org/vocnet/?startNode=lido00409&lang=en&uriVocItem=http://terminology.lido-schema.org/lido00227",,"x",,,"x","x","x","x","x","x","x"
"F6XOKY","Handbuch zur Erstellung diskriminierungsfreier Metadaten für historische Quellen und Forschungsdaten (2024)","Dieses Handbuch ist ein Leitfaden zur Erstellung von diskriminierungsfreien Metadaten für historische Quellen und Forschungsdaten, das im Rahmen des Forschungsprojekts Stadt.Geschichte.Basel entwickelt wurde. Es richtet sich an professionelle Historiker*innen, Archivar*innen, Bibliothekar*innen und alle, die sich mit Open Research Data in den Geschichtswissenschaften beschäftigen. Die Autor*innen Moritz Mähr und Noëlle Schnegg führen durch die praktischen Aspekte der Erstellung von Metadaten, basierend auf den FAIR-Prinzipien, um Forschungsdaten auffindbar, zugänglich, interoperabel und nachnutzbar zu machen. Durch praktische Anleitungen und illustrierte Fallbeispiele zeigt das Handbuch, wie maschinenlesbare Metadaten Forschung und Lehre bereichern und die Interpretation historischer Quellen beeinflussen können. Als öffentlich zugängliches ""Living Document"" ist es auf eine kontinuierliche Weiterentwicklung durch die Community ausgelegt und verpflichtet sich zu einer inklusiven und diskriminierungsfreien Darstellung historischer Inhalte. 
Zitiervorschlag: Mähr, M., & Schnegg, N. (2024). Handbuch zur Erstellung diskriminierungsfreier Metadaten für historische Quellen und Forschungsdaten. https://doi.org/10.5281/zenodo.11124720 ","https://doi.org/10.5281/zenodo.11124720",,"x","x",,"x","x","x","x","x","x","x"
"SYKA1M","Deutsches Zentrum Kulturgutverluste","Das Deutsche Zentrum Kulturgutverluste ist eine Stiftung des bürgerlichen Rechts mit Sitz in Magdeburg und wurde vom Bund, den Ländern und kommunalen Spitzenverbänden errichtet. Sie dient als zentraler Ansprechpartner für sämtliche Fragen zu Kulturgütern, die unrechtmäßig entzogen wurden. Die Förderung der Provenienzforschung in Deutschland sowie die Vernetzung, Unterstützung von Forschungsprojekten gehören zudem zu den Aufgaben des DZK (u.a. durch finanzielle Zuwendungen). Das DZK fokussiert sich auf die folgenden Kontexte: NS-Kontext, Verluste, Entziehungen oder Verlagerungen infolge des Zweiten Weltkriegs, DDR, SBZ und koloniale Kontexte.","https://kulturgutverluste.de","x",,,"x","x","x","x","x","x","x","x"
"KU5E0O","EVIFA. Fachportal Ethnologie","Das Fachportal Ethnologie (EVIFA) bietet einen zentralen Such- und Informationseinstieg für digitale Fachinformationen aus der Sozial- und Kulturanthropologie. Auf der Webseite gibt es  Zugang zu digitalen Ressourcen, Neuigkeiten und Diskussionen.","https://www.evifa.de/de ","x",,,"x","x",,,,,,
"VXNCN6","Koloniales Bildarchiv und Kolonialbibliothek an der Universitätsbibliothek Frankfurt am Main","In der zweiten Hälfte des 19. Jahrhunderts entstanden zahlreiche Vereine, die sich um die Betreuung deutscher Auswanderer sowie die Verbreitung kolonialer Ideen bemühten. Der wichtigste war die 1887 gebildete ""Deutsche Kolonialgesellschaft"" (DKG). Auf den Seiten findet man das größte digitale Bildarchiv zu diesem Thema in Deutschland.","https://www.ub.uni-frankfurt.de/ozeanien/bildarchiv.html",,,,"x","x",,,,,,
